content,score,time,type
"外形外观：外观设计简约大气，外观一眼就喜欢设计很戳我的审美
加热速度：加热速度很快，主要是还可以手机开关,远程控制，下班回家前可以提前加热，回到家就可以立马冲洗，省去等待的时间。
耗能情况：一级能效，还有智能省电模式，非常不错。
洗浴时间：洗浴时长可以大大满足我们一家四口。
其他特色：其实活水排污功能是非常动心的，清理又快又方便，而且会进行水质检测，不需要自己操心啥时候要清理，水质是否干净，热水器自己就会提醒我。总体这款产品很符合我的需求。物有所值。👍🏻",5,2024-12-20 14:24:34,good
"外形外观：颜色好看清新，线条流畅，形状大气
加热速度：加热速度很快，随时可以用到热水
耗能情况：比我家之前的电热好太多了，巨省电
洗浴时间：太棒了，终于不用等水热，冻的抖抖了",5,2024-12-13 18:22:01,good
买了美的热水器，真是物超所值！😍 热水即来，洗澡都变得更舒服了。而且它的外观设计也很时尚，摆在家里就是一道亮丽的风景线,5,2024-12-21 17:54:36,good
"外形外观：颜色好看，外观大气上档次，尺寸不大还省地方

加热速度：加热速度快，双胆设计，单双胆加热可以切换
耗能情况：一级能耗，还有智能省电模式，自主学习
其他特色：大屏液晶显示准确好看方便",5,2024-12-21 17:44:38,good
"外形外观：很好看，感觉看起比较大气

加热速度：加热速度很快，只需要不到半个小时

洗浴时间：洗澡时间挺长的，推荐购买
耗能情况：一级能效，可以的",5,2024-12-06 22:16:49,good
"外形外观：外观很漂亮，是我喜欢的颜色。而且造型还不占地方。
加热速度：试了一下，大概需要半个小时左右。速度还可以挺快的。
耗能情况：耗能情况：一级能效非常省电。 
洗浴时间：洗四五个人都没有问题。边洗边加热，再也不怕没有热水了。
其他特色：看了许多电热水器，最后选择了这款美的，选择没有错。",5,2024-12-27 18:11:23,good
价格实惠，外观美观，性价比很高，物超所值。价格亲民，性能优良，保温效果佳，安装方便，正品保证，值得购买。,5,2024-12-13 12:11:13,good
美的热水器，真的不错，功能强大，安全，放心，不在家也能烧水，美的美居直接就控制了，大品牌值得信赖，客服服务态度很好，安装师傅也很专业，很细心，,5,2024-12-11 19:20:22,good
"外形外观：外观漂亮，整体轻薄，节省空间
加热速度：加热速度非常快，一顿饭时间就就能洗澡了
耗能情况：直接用省电模式，可以智能分析用水用量，省电放心",5,2024-12-25 10:46:45,good
"外形外观：外观好看，简约大气上档次
加热速度：加热速度快
耗能情况：耗能低，环保省电
其他特色：价格合适，不错不错不错",5,2024-12-23 23:29:43,good
